DlyCalDt,mcap_N,mcap_Q,total_mcap,ratio_N,ratio_Q
2024-10-28,34879339735.9,31911129568.32,66790469304.22,0.5222203122578782,0.47777968774212176
2024-10-29,34710270691.75,32154688142.72,66864958834.47,0.519110028582808,0.48088997141719203
2024-10-30,34667857388.72,31975551252.67,66643408641.39,0.5201993429728166,0.4798006570271835
2024-10-31,34354625763.87,31128529089.42,65483154853.28999,0.5246330272394315,0.47536697276056855
2024-11-01,34366141374.79,31368004879.35,65734146254.14,0.52280501585773,0.4771949841422701
2024-11-04,34359554947.23,31267754682.850002,65627309630.08,0.5235557444134726,0.4764442555865273
2024-11-05,34734028177.73,31705037674.16,66439065851.89,0.5227952520458552,0.47720474795414486
2024-11-06,35637193013.9,32611449897.68,68248642911.58,0.5221670570075658,0.4778329429924341
2024-11-07,35567371999.93,33096315058.04,68663687057.97,0.517993913870397,0.4820060861296031
2024-11-08,35775380362.96,33127034837.98,68902415200.94,0.5192180892154261,0.48078191078457383
2024-11-11,35968802769.2,33156438738.55,69125241507.75,0.5203425258943557,0.47965747410564424
2024-11-12,35716229818.94,33123505274.379997,68839735093.32,0.5188315987927995,0.48116840120720045
2024-11-13,35746155556.57,33040272413.77,68786427970.34,0.5196687284297329,0.4803312715702671
2024-11-14,35489740291.23,32836627906.83,68326368198.060005,0.5194149963942861,0.4805850036057139
2024-11-15,35329517018.19,32113135197.510002,67442652215.700005,0.5238453094222417,0.47615469057775833
2024-11-18,35434004201.79,32302665111.71,67736669313.5,0.52311406156972,0.47688593843028004
2024-11-19,35438456121.43,32622773059.71,68061229181.14,0.5206849266138455,0.4793150733861545
2024-11-20,35507531928.04,32587617706.48,68095149634.520004,0.5214399574509473,0.47856004254905266
2024-11-21,35961712554.78,32604836058.72,68566548613.5,0.5244789665218694,0.4755210334781306
2024-11-22,36257647024.2,32668737304.54,68926384328.73999,0.5260343680769829,0.4739656319230172
2024-11-25,36457536434.46,32761272616.3,69218809050.76,0.5266998513037795,0.4733001486962205
2024-11-26,36353310353.1,33096064662.64,69449375015.73999,0.5234505039802143,0.47654949601978586
2024-11-27,36338327255.44,32920726040.47,69259053295.91,0.5246725955115807,0.47532740448841926
2024-11-29,36449259852.27,33194538178.69,69643798030.95999,0.5233669168368239,0.47663308316317615
2024-12-02,36255150658.18,33496709924.59,69751860582.77,0.5197732412479287,0.48022675875207127
2024-12-03,36153840123.59,33629259093.24,69783099216.83,0.5180887711973469,0.481911228802653
2024-12-04,36179062271.13,34055786611.71,70234848882.84,0.5151155423069385,0.48488445769306154
2024-12-05,36064750979.78,33991534014.77,70056284994.55,0.51479679492833,0.48520320507167
2024-12-06,36010039750.31,34263046477.25,70273086227.56,0.5124300309467187,0.48756996905328137
2024-12-09,35753945119.9,34052983314.16,69806928434.06,0.5121833308232917,0.48781666917670835
2024-12-10,35546613176.72,33964895202.97,69511508379.69,0.5113773820380234,0.4886226179619766
2024-12-11,35538207699.91,34544515095.95,70082722795.86,0.5070894263544418,0.4929105736455583
2024-12-12,35332731795.73,34320996296.67,69653728092.4,0.5072626083826977,0.49273739161730246
2024-12-13,35235551453.88,34365190293.49,69600741747.37,0.5062525279080297,0.4937474720919703
2024-12-16,35079126679.18,34779330214.75,69858456893.93,0.5021457421031015,0.49785425789689863
2024-12-17,34847778245.92,34671282207.27,69519060453.19,0.5012694075372958,0.4987305924627042
2024-12-18,33866492127.06,33471255316.64,67337747443.7,0.5029347344203224,0.4970652655796777
2024-12-19,33817768797.09,33418182490.87,67235951287.96,0.5029715226643305,0.4970284773356694
2024-12-20,34188731347.12,33751566639.56,67940297986.68,0.5032172710491033,0.49678272895089665
2024-12-23,34266251944.05,34064321750.010002,68330573694.06,0.5014775976779012,0.4985224023220988
2024-12-24,34535429401.75,34514789304.01,69050218705.76001,0.5001494571496431,0.4998505428503568
2024-12-26,34566029715.54,34497441561.38,69063471276.92,0.5004965588384994,0.49950344116150064
2024-12-27,34337069095.170002,33999432628.54,68336501723.71001,0.5024703961873487,0.49752960381265127
2024-12-30,34018443629.22,33612199362.92,67630642992.14,0.503003403844225,0.496996596155775
2024-12-31,34102575797.21,33333960493.23,67436536290.44,0.5056988047300478,0.49430119526995214
