Ticker,datadate,gsector,,,,,
NHC,2024-06-30,35,,,,,
THC,2024-06-30,35,,,,,
NPK,2024-06-30,20,,,,,
HLNFF,2024-06-30,30,,,,,
NATR,2024-06-30,30,,,,,
CRMZ,2024-06-30,40,,,,,
NJR,2024-06-30,55,,,,,
ETR3,2024-06-30,55,,,,,
NUVR,2024-06-30,50,,,,,
NYT,2024-06-30,50,,,,,
NWL,2024-06-30,25,,,,,
NEM,2024-06-30,15,,,,,
NPKI,2024-06-30,20,,,,,
NTTYY,2024-06-30,50,,,,,
NROM,2024-06-30,25,,,,,
NSC,2024-06-30,20,,,,,
NC,2024-06-30,10,,,,,
PGL2,2024-06-30,55,,,,,
ES,2024-06-30,55,,,,,
NI,2024-06-30,55,,,,,
XEL,2024-06-30,55,,,,,
XEL1,2024-06-30,55,,,,,
NTRS,2024-06-30,40,,,,,
NOC,2024-06-30,20,,,,,
TEX,2024-06-30,20,,,,,
NWN,2024-06-30,55,,,,,
WMB2,2024-06-30,10,,,,,
NWE,2024-06-30,55,,,,,
WFC,2024-06-30,40,,,,,
NVO,2024-06-30,35,,,,,
NUE,2024-06-30,15,,,,,
NEWT,2024-06-30,40,,,,,
OXY,2024-06-30,10,,,,,
OII,2024-06-30,10,,,,,
ITI,2024-06-30,45,,,,,
VTOL,2024-06-30,10,,,,,
FE,2024-06-30,55,,,,,
AEP5,2024-06-30,55,,,,,
OGE,2024-06-30,55,,,,,
OLN,2024-06-30,15,,,,,
OLP,2024-06-30,60,,,,,
OKE,2024-06-30,10,,,,,
ED2,2024-06-30,55,,,,,
ORBT,2024-06-30,20,,,,,
OTTR,2024-06-30,55,,,,,
OMI,2024-06-30,35,,,,,
OC,2024-06-30,20,,,,,
OI,2024-06-30,15,,,,,
PNC,2024-06-30,40,,,,,
PPG,2024-06-30,15,,,,,
PCAR,2024-06-30,20,,,,,
PCG,2024-06-30,55,,,,,
SRE,2024-06-30,55,,,,,
MEC2,2024-06-30,55,,,,,
PAR,2024-06-30,45,,,,,
PDI,2024-06-30,,,,,,
PKOH,2024-06-30,20,,,,,
PH,2024-06-30,20,,,,,
